author|quote|source
Fernando Pessoa|Sit still with me in the shade of these green trees, which have no weightier thought than the withering of their leaves when autumn arrives, or the stretching of their many stiff fingers into the cold sky of the passing winter. Sit still with me and meditate on how useless effort is, how alien the will, and on how our very meditation is no more useful than effort, and no more our own than the will. Meditate too on how a life that wants nothing can have no weight in the flux of things, but a life the wants everything can likewise have no weight in the flux of things, since it cannot obtain everything, and to obtain less than everything is not worthy of souls that seek the truth.|The Education of the Stoic
Fyodor Dostoyevsky|I must add... my gratitude to you for the attention with which you have listened to me, for, from my numerous observations, our Liberals are never capable of letting anyone else have a conviction of his own without at once meeting their opponent with abuse or even something worse.|The Idiot
Emil Cioran|There is no other world. Nor even this one. What, then, is there? The inner smile provoked in us by the patent nonexistence of both.|
Werner Herzog|Jeder für sich und Gott gegen alle|
Ashim Shanker|His hatred for all was so intense that it should extinguish the very love from which it was conceived. And thus, he ceased to feel. There was nothing further in which to believe that made the prospect of feeling worthwhile. Daily he woke up and cast downtrodden eyes upon the sea and he would say to himself with a hint of regret at his hitherto lack of indifference, 'All a dim illusion, was it? Surely it was foolish of me to think any of this had meaning.' He would then spend hours staring at the sky, wondering how best to pass the time if everything—even the sky itself— were for naught. He arrived at the conclusion that there was no best way to pass the time. The only way to deal with the illusion of time was to endure it, knowing full well, all the while, that one was truly enduring nothing at all. Unfortunately for him, this nihilistic resolution to dispassion didn’t suit him very well and he soon became extremely bored. Faced now with the choice between further boredom and further suffering, he impatiently chose the latter, sailing another few weeks along the coast , and then inland, before finally dropping anchor off the shores of the fishing village of Yami.|Only the Deplorable
Albert Camus|Aujourd'hui, maman est morte. Ou peut-être hier, je ne sais pas. J'ai reçu un télégramme de l'asile : « Mère décédée. Enterrement demain. Sentiments distingués. » Cela ne veut rien dire. C'était peut-être hier.|The Stranger
Cormac McCarthy|The priest therefore saw what the anchorite could not. That God needs no witness. Neither to himself nor against. The truth is rather that if there were no God then there could be no witness for there could be no identity to the world but only each man's opinion of it. The priest saw that there is no man who is elect because there is no man who is not. To God every man is a heretic.|
Chuck Palahniuk|I see in the fight club the strongest and smartest men who've ever lived. I see all this potential and I see squandering. God damn it, an entire generation pumping gas, waiting tables, slaves with white collars, advertising has us chasing cars and clothes, working jobs we hate so we can buy shit we don't need. We're the middle children of the history man, no purpose or place, we have no Great war, no Great depression, our great war is a spiritual war, our great depression is our lives, we've been all raised by television to believe that one day we'd all be millionaires and movie gods and rock stars, but we won't and we're slowly learning that fact. and we're very very pissed off.|Fight Club
Samuel Beckett|I can't go on, I'll go on.|I Can't Go On, I'll Go On: A Samuel Beckett Reader
Charles Bukowski|I was drawn to all the wrong things: I liked to drink, I was lazy, I didn't have a god, politics, ideas, ideals. I was settled into nothingness; a kind of non-being, and I accepted it. I didn't make for an interesting person. I didn't want to be interesting, it was too hard. What I really wanted was only a soft, hazy space to live in, and to be left alone. On the other hand, when I got drunk I screamed, went crazy, got all out of hand. One kind of behavior didn't fit the other. I didn't care.|Women
Chuck Palahniuk|If you could be either God’s worst enemy or nothing, which would you choose?|Fight Club
A.A. Milne|"There must be somebody there, because somebody must have said ""Nobody."|Winnie-the-Pooh
Brent Weeks|Do you know what punishments I've endured for my crimes, my sins? None. I am proof of the absurdity of men's most treasured abstractions. A just universe wouldn't tolerate my existence.|The Way of Shadows
Fyodor Dostoyevsky|Lack of originality, everywhere, all over the world, from time immemorial, has always been considered the foremost quality and the recommendation of the active, efficient and practical man.|The Idiot
Joseph Heller|Man was matter, that was Snowden's secret. Drop him out a window, and he'll fall. Set fire to him and he'll burn. Bury him and he'll rot, like other kinds of garbage. The spirit gone, man is garbage. That was Snowden's secret. Ripeness was all.|Catch-22
Alan Moore|Why do we argue? Life's so fragile, a successful virus clinging to a speck of mud, suspended in endless nothing.|Watchmen
Cormac McCarthy|The point is there ain't no point.|No Country for Old Men
John Fowles|I think we are just insects, we live a bit and then die and that’s the lot. There’s no mercy in things. There’s not even a Great Beyond. There’s nothing.|The Collector
Eugène Ionesco|That's how we stay young these days: murder and suicide.|Man With Bags
Viktor E. Frankl|But today’s society is characterized by achievement orientation, and consequently it adores people who are successful and happy and, in particular, it adores the young. It virtually ignores the value of all those who are otherwise, and in so doing blurs the decisive difference between being valuable in the sense of dignity and being valuable in the sense of usefulness. If one is not cognizant of this difference and holds that an individual’s value stems only from his present usefulness, then, believe me, one owes it only to personal inconsistency not to plead for euthanasia along the lines of Hitler’s program, that is to say, ‘mercy’ killing of all those who have lost their social usefulness, be it because of old age, incurable illness, mental deterioration, or whatever handicap they may suffer. Confounding the dignity of man with mere usefulness arises from conceptual confusion that in turn may be traced back to the contemporary nihilism transmitted on many an academic campus and many an analytical couch.|Man's Search for Meaning
Bret Easton Ellis|Disappear Here.The syringe fills with blood.You're a beautiful boy and that's all that matters.Wonder if he's for sale.People are afraid to merge. To merge.|Less Than Zero
Albert Camus|If we believe in nothing, if nothing has any meaning and if we can affirm no values whatsoever, then everything is possible and nothing has any importance.|The Rebel: An Essay on Man in Revolt
Cornel West|Nihilism is a natural consequence of a culture (or civilization) ruled and regulated by categories that mask manipulation, mastery and domination of peoples and nature.|The Cornel West Reader
Flannery O'Connor|If you live today, you breath in nihilism ... it's the gas you breathe. If I hadn't had the Church to fight it with or to tell me the necessity of fighting it, I would be the stinkingest logical positivist you ever saw right now.|
Guy de Maupassant|I told myself: 'I am surrounded by unknown things.' I imagined man without ears, suspecting the existence of sound as we suspect so many hidden mysteries, man noting acoustic phenomena whose nature and provenance he cannot determine. And I grew afraid of everything around me – afraid of the air, afraid of the night. From the moment we can know almost nothing, and from the moment that everything is limitless, what remains? Does emptiness actually not exist? What does exist in this apparent emptiness?|Complete Works
Alan Moore|I sat on the bed. I looked at the Rorschach blot. I tried to make it look like a spreading tree, shadows pooled beneath it, but it didn't. It looked more like a dead cat I once found, the fat, glistening grubs writhing blindly, squirming over each other, frantically tunneling away from the light. But even that isn't the real horror. The horror is this: in the end, it is simply a picture of empty meaningless blackness.|Watchmen
Friedrich Nietzsche|"Virtue is under certain circumstances merely an honorable form of stupidity: who could be ill-disposed toward it on that account? And this kind of virtue has not been outlived even today. A kind of sturdy peasant simplicity, which, however, is possible in all classes and can be encountered only with respect and a smile, believes even today that everything is in good hands, namely in the ""hands of God""; and when it maintains this proportion with the same modest certainty as it would that two and two make four, we others certainly refrain from contradicting. Why disturb THIS pure foolishness? Why darken it with our worries about man, people, goal, future? And even if we wanted to do it, we could not. They project their own honorable stupidity and goodness into the heart of things (the old God, deus myops, still lives among them!); we others — we read something else into the heart of things: our own enigmatic nature, our contradictions, our deeper, more painful, more mistrustful wisdom."|The Will to Power
Gorgias|Nothing exists; even if something exists, nothing can be known about it; and even if something can be known about it, knowledge about it can't be communicated to others.|
Friedrich Nietzsche|It is a self-deception of philosophers and moralists to imagine that they escape decadence by opposing it. That is beyond their will; and, however little they acknowledge it, one later discovers that they were among the most powerful promoters of decadence.|The Will to Power
Seraphim Rose|Atheism, true 'existential' atheism burning with hatred of a seemingly unjust or unmerciful God, is a spiritual state; it is a real attempt to grapple with the true God.… Nietzsche, in calling himself Antichrist, proved thereby his intense hunger for Christ.|Nihilism: The Root of the Revolution of the Modern Age
Fernando Pessoa|Sit still with me in the shade of these green trees, which have no weightier thought than the withering of their leaves when autumn arrives, or the stretching of their many stiff fingers into the cold sky of the passing winter. Sit still with me and meditate on how useless effort is, how alien the will, and on how our very meditation is no more useful than effort, and no more our own than the will. Meditate too on how a life that wants nothing can have no weight in the flux of things, but a life the wants everything can likewise have no weight in the flux of things, since it cannot obtain everything, and to obtain less than everything is not worthy of souls that seek the truth.|The Education of the Stoic
Fyodor Dostoyevsky|I must add... my gratitude to you for the attention with which you have listened to me, for, from my numerous observations, our Liberals are never capable of letting anyone else have a conviction of his own without at once meeting their opponent with abuse or even something worse.|The Idiot
Emil Cioran|There is no other world. Nor even this one. What, then, is there? The inner smile provoked in us by the patent nonexistence of both.|
Werner Herzog|Jeder für sich und Gott gegen alle|
Ashim Shanker|His hatred for all was so intense that it should extinguish the very love from which it was conceived. And thus, he ceased to feel. There was nothing further in which to believe that made the prospect of feeling worthwhile. Daily he woke up and cast downtrodden eyes upon the sea and he would say to himself with a hint of regret at his hitherto lack of indifference, 'All a dim illusion, was it? Surely it was foolish of me to think any of this had meaning.' He would then spend hours staring at the sky, wondering how best to pass the time if everything—even the sky itself— were for naught. He arrived at the conclusion that there was no best way to pass the time. The only way to deal with the illusion of time was to endure it, knowing full well, all the while, that one was truly enduring nothing at all. Unfortunately for him, this nihilistic resolution to dispassion didn’t suit him very well and he soon became extremely bored. Faced now with the choice between further boredom and further suffering, he impatiently chose the latter, sailing another few weeks along the coast , and then inland, before finally dropping anchor off the shores of the fishing village of Yami.|Only the Deplorable
Albert Camus|Aujourd'hui, maman est morte. Ou peut-être hier, je ne sais pas. J'ai reçu un télégramme de l'asile : « Mère décédée. Enterrement demain. Sentiments distingués. » Cela ne veut rien dire. C'était peut-être hier.|The Stranger
Cormac McCarthy|The priest therefore saw what the anchorite could not. That God needs no witness. Neither to himself nor against. The truth is rather that if there were no God then there could be no witness for there could be no identity to the world but only each man's opinion of it. The priest saw that there is no man who is elect because there is no man who is not. To God every man is a heretic.|
Flannery O'Connor|"Where you come from is gone, where you thought you were going to never was there, and where you are is no good unless you can get away from it. Where is there a place for you to be? No place.Nothing outside you can give you any place,"" he said. ""You needn't look at the sky because it's not going to open up and show no place behind it. You needn't to search for any hole in the ground to look through into somewhere else. You can't go neither forwards nor backwards into your daddy's time nor your children's if you have them. In yourself right now is all the place you've got. If there was any Fall, look there, if there was any Redemption, look there, and if you expect any Judgment, look there, because they all three will have to be in your time and your body and where in your time and your body can they be?"|Wise Blood
John Marmysz|Though nihilism has been relentlessly criticized for overemphasizing the dark side of human experience, it might be equally true that this overemphasis represents a needed counterbalance to shallow optimism and arrogant confidence in human power. Nihilism reminds us that we are not gods, and that despite all of the accomplishments and wonders of civilization, humans cannot alter the fact that they possess only a finite amount of mastery and control over their own destinies.|Laughing at Nothing: Humor as a Response to Nihilism
Fyodor Dostoyevsky|Why did you come in to-night with your heads in the air? 'Make way, we are coming! Give us every right and don't you dare breathe a word before us. Pay us every sort of respect, such as no one's ever heard of, and we shall treat you worse than the lowest lackey!' They strive for justice, they stand on their rights, and yet they've slandered him like infidels in their article. We demand, we don't ask, and you will get no gratitude from us, because you are acting for the satisfaction of your own conscience! Queer sort of reasoning!... He has not borrowed money from you, he doesn't owe you anything, so what are you reckoning on, if not his gratitude? So how can you repudiate it? Lunatics! They regard society as savage and inhuman, because it cries shame on the seduced girl; but if you think society inhuman, you must think that the girl suffers from the censure of society, and if she does, how is it you expose her to society in the newspapers and expect her not to suffer? Lunatics! Vain creatures! They don't believe in God, they don't believe in Christ! Why, you are so eaten up with pride and vanity that you'll end by eating up one another, that's what I prophesy. Isn't that topsy-turvydom, isn't it infamy?|The Idiot
Christopher Hitchens|Like the Nazis, the cadres of jihad have a death wish that sets the seal on their nihilism. The goal of a world run by an oligarchy in possession of Teutonic genes, who may kill or enslave other 'races' according to need, is not more unrealizable than the idea that a single state, let alone the globe itself, could be governed according to the dictates of an allegedly holy book. This mad scheme begins by denying itself the talents (and the rights) of half the population, views with superstitious horror the charging of interest, and invokes the right of Muslims to subject nonbelievers to special taxes and confiscations. Not even Afghanistan or Somalia, scenes of the furthest advances yet made by pro-caliphate forces, could be governed for long in this way without setting new standards for beggary and decline.|The Enemy
Allen Wheelis|Certainty is not to be had. But as we learn this we become not more moral but more resigned. We become nihilists.|The Moralist
Bret Easton Ellis|He was simply someone who floated through our lives and didn't seem to care how flatly he perceived everyone or that he'd shared our secret failures with the world, showcasing the youthful indifference, the gleaming nihilism, glamorizing the horror of it all.|Imperial Bedrooms
John Marmysz|Despite its successes, in the end, philosophical thinking always falls short of its real goal. It involves both the wonder of aspiring toward the Truth and the distress of falling short of that Truth. In this way, philosophy can be characterized as wondrous distress.|The Path of Philosophy: Truth, Wonder, and Distress
Seraphim Rose|"More profoundly, Nihilist ""simplification"" may be seen in the universal prestige today accorded the lowest order of knowledge, the scientific, as well as the simplistic ideas of men like Marx, Freud, and Darwin, which underlie virtually the whole of contemporary thought and life.We say ""life,"" for it is important to see that the Nihilist history of our century has not been something imposed from without or above, or at least has not been predominantly this; it has rather presupposed, and drawn its nourishment from, a Nihilist soil that has long been preparing in the hearts of the people. It is precisely from the Nihilism of the commonplace, from the everyday Nihilism revealed in the life and thought and aspiration of the people, that all the terrible events of our century have sprung. The world-view of Hitler is very instructive in this regard, for in him the most extreme and monstrous Nihilism rested upon the foundation of a quite unexceptional and even typical Realism. He shared the common faith in ""science,"" ""progress,"" and ""enlightenment"" (though not, of course, in ""democracy""), together with a practical materialism that scorned all theology, metaphysics, and any thought or action concerned with any other world than the ""here and now,"" priding himself on the fact that he had ""the gift of reducing all problems to their simplest foundations."" He had a crude worship of efficiency and utility that freely tolerated ""birth control"", laughed at the institution of marriage as a mere legalization of a sexual impulse that should be ""free"", welcomed sterilization of the unfit, despised ""unproductive elements"" such as monks, saw nothing in the cremation of the dead but a ""practical"" question and did not even hesitate to put the ashes, or the skin and fat, of the dead to ""productive use."" He possessed the quasi-anarchist distrust of sacred and venerable institutions, in particular the Church with its ""superstitions"" and all its ""outmoded"" laws and ceremonies. He had a naive trust in the ""natural mom, the ""healthy animal"" who scorns the Christian virtues--virginity in particular--that impede the ""natural functioning"" of the body. He took a simple-minded delight in modern conveniences and machines, and especially in the automobile and the sense of speed and ""freedom"" it affords.There is very little of this crude Weltanschauung that is not shared, to some degree, by the multitudes today, especially among the young, who feel themselves ""enlightened"" and ""liberated,"" very little that is not typically ""modern."|
Haruki Murakami|Pero, en este mundo, nada hay tan cruel como la desolación de no desear nada.|The Wind-Up Bird Chronicle
Flannery O'Connor|"That's the trouble with you preachers,"" he said. ""You've all got too good to believe in anything,"" and he drove off with a look of disgust and righteousness."|Wise Blood
Juli Zeh|Alle Wege führen zur Erkenntnis der Nichtigkeit aller Dinge, aber keiner führt zurück.|Spieltrieb
Seraphim Rose|What, more realistically, is this “mutation,” the “new man”? He is the rootless man, discontinuous with a past that Nihilism has destroyed, the raw material of every demagogue’s dream; the “free-thinker” and skeptic, closed only to the truth but “open” to each new intellectual fashion because he himself has no intellectual foundation; the “seeker” after some “new revelation,” ready to believe anything new because true faith has been annihilated in him; the planner and experimenter, worshipping “fact” because he has abandoned truth, seeing the world as a vast laboratory in which he is free to determine what is “possible”; the autonomous man, pretending to the humility of only asking his “rights,” yet full of the pride that expects everything to be given him in a world where nothing is authoritatively forbidden; the man of the moment, without conscience or values and thus at the mercy of the strongest “stimulus”; the “rebel,” hating all restraint and authority because he himself is his own and only god; the “mass man,” this new barbarian, thoroughly “reduced” and “simplified” and capable of only the most elementary ideas, yet scornful of anyone who presumes to point out the higher things or the real complexity of life.|Nihilism: The Root of the Revolution of the Modern Age
William Gaddis|Then, what is sacrelige [sic]? If it is nothing more than a rebellion against dogma, it is eventually as meaningless as the dogma it defies, and they are both become hounds ranting in the high grass, never see the boar in the thicket. Only a religious person can perpetrate sacrelige: and if its blasphemy reaches the heart of the question; if it investigates deeply enough to unfold, not the pattern, but the materials of the pattern, and the necessity of a pattern; if it questions so deeply that the doubt it arouses is frightening and cannot be dismissed; then it has done its true sacreligious [sic] work, in the service of its adversary: the only service that nihilism can ever perform.(unused 1949 prefatory note to The Recognitions) |
Andrew M. Ryan|I’ve always been suspicious of the assumption that great intelligence would be an unqualified benefit— that the madness that so often accompanies it can be cavalierly dismissed. So I asked the question: Suppose there were an entire subpopulation of extreme geniuses, well beyond anything that would occur naturally. What would that really look like?|The Labbitt Halsey Protocol
Ştefan Bolea|I feel as if I had been born dead underAmerican bombardment.|Gothic
Ernst Jünger|Dalin must have whiffed the anarch in me, a man with no ties to state or society. Still, he was unable to sense an autonomy that puts up with these forces as objective facts but without recognizing them. What he lacked was a grounding in history.Opposition is collaboration; this was something from which Dalin, without realizing it, could not stay free. Basically, he damaged order less than he confirmed it. The emergence of the anarchic nihilist is like a goad that convinces society of its unity.The anarch, in contrast, not only recognizes society a priori as imperfect, he actually acknowledges it with that limitation. He is more or less repulsed by state and society, yet there are times and places in which the invisible harmony shimmers through the visible harmony. This is obviously chiefly in the work of art. In that case, one serves joyfully.But the anarchic nihilist thinks the exact opposite. The Temple of Artemis, to cite an example, would inspire him to commit arson. The anarch, however, would have no qualms about entering the temple in order to meditate and to participate with an offering. This is possible in any temple worthy of the name.|Eumeswil
J.R.R. Tolkien|In account after account of exorcisms the demonic voices will propound nihilism of one variety or another.|The Return of the King
Saşa Pană|Ai pus nitroglicerină sub perna lui dumnezeu ...|Prozopoeme
Jean-Paul Sartre|Every existing thing is born without reason, prolongs itself out of weakness and dies by chance.|
frére dupont|Death appears as the harsh victory of the law of our ancestors of the dimension of our becoming. It is a fact that, as productivity increases, each succeeding generation becomes smaller in stature. The defeat of our fathers is revisited upon us as the limits of our world. Yes, structure is human, it is the monumentalization of congealed sweat, sweat squeezed from old exploitation and represented as nature, the world we inhabit, the objective ground. We do not, in our insect-like comings and going, make the immediate world in which we live, we do not make a contribution, on the contrary we are set in motion by it; a generation will pass before what we have done, as an exploited class, will seep through as an effect of objectivity. (Our wealth is laid down in heaven.) The structure of the world has been built by the dead, they were paid in wages, and when the wages were spent and they were in the ground, what they had made continued to exist, these cities, roads and factories are their calcified bones. They had nothing but their wages to show for what they had done, who they were and what they did has been cancelled out. But what they made has continued into our present, their burial and decay is our present. This is the definition of class hatred. We are no closer now to rest, to freedom, to communism than they were, their sacrifice has brought us nothing, what they did counted for nothing, we have inherited nothing, but they did produce value, they did make the world in which we now live, the world that now oppresses us is constructed from the wealth they made, wealth that was taken from them as soon as they were paid a wage, taken and owned by someone else, owned and used to define the nature of class domination. We too must work, and the value we produce leaks away from us, from each only a trickle but in all a sea of it and that, for the next generation, will thicken into wealth for others to own and as a congealed structure it will be used to frame new enterprises in different directions. The violence of what they produced becomes the structure that dominates our existence. Our lives begin amidst the desecration of our ancestors, millions of people who went to their graves as failures, and forever denied experiences of a full human existence, their simply being canceled out; as our parents die, we can say truly that their lives were for nothing, that the black earth that is thrown down onto them blacks out our sky.|
Christopher Hitchens|It was sometimes feebly argued, as the political and military war against this enemy ran into difficulties, that it was 'a war without end.' I never saw the point of this plaintive objection. The war against superstition and the totalitarian mentality is an endless war. In protean forms, it is fought and refought in every country and every generation. In bin Ladenism we confront again the awful combination of the highly authoritarian personality with the chaotically nihilist and anarchic one. Temporary victories can be registered against this, but not permanent ones. As Bertold Brecht's character says over the corpse of the terrible Arturo Ui, the bitch that bore him is always in heat. But it is in this struggle that we develop the muscles and sinews that enable us to defend civilization, and the moral courage to name it as something worth fighting for.|The Enemy
Ernst Jünger|Bruno withdrew from the field of history more resolutely than Vigo; that is why I prefer the former’s retrospect but the latter’s prospect. As an anarch, I am determined to go along with nothing, ultimately take nothing seriously – at least not nihilistically, but rather as a border guard in no man’s land, who sharpens his eyes and ears between the tides.|Eumeswil
Graham Greene|She got up and he saw the skin of her thigh for a moment above the artificial silk, and a prick of sexual desire disturbed him like a sickness. That was what happened to a man in the end: the stuffy room, the wakeful children, the Saturday night movements from the other bed. Was there no escape––anywhere––for anyone? It was worth murdering a world.|Brighton Rock
Arthur Balfour|Nothing matters very much and most things don't matter at all.|
Michel Houellebecq|Maybe I should have gone into politics. If you were a political activist, election season brought moments of intensity, whichever side you were on, and meanwhile here I was inarguably withering away,|
Maggie Shipstead|People spent their lives searching for something beyond the simple friction of skin on skin, but there was nothing. The void between two people could never be closed, and in trying to close it, they would only learn everything that was to be despised in the other.|Seating Arrangements
Liu Cixin|From time to time, I would gaze up at the stars after a night shift and think that they looked like a glowing desert, and I myself was a poor child abandoned in the desert... I thought that life was truly an accident among accidents in the universe. The universe was an empty palace, and humankind the only ant in the entire palace. This kind of thinking infused the second half of my life with a conflicted mentality: Sometimes I thought life was precious, and everything was so important; but other times I thought humans were insignificant, and nothing was worthwhile. Anyway, my life passed day after day accompanied by this strange feeling, and before I knew it, I was old...|The Three-Body Problem
Noah  Wareness|Don't ever trust a punk who lived.|
Peter Singer|To say that life is meaningless is to express an attitude, not to state a fact|Writings on an Ethical Life
Marty Rubin|One explains things until things have no meaning anymore.|
Bret Easton Ellis|"Nothing. Nothing makes me happy. I like nothing,"" I tell her."|Less Than Zero
László Krasznahorkai|Irimiás: God is not made manifest in language, you dope. He's not manifest in anything. He doesn't exist... God was a mistake. I've long understood there is zero difference between me and a bug, or a bug and a river, or a river and a voice shouting above it. There's no sense or meaning in anything. It's nothing but a network of dependency under enormous fluctuating pressures. It's only our imaginations, not our senses, that continually confront us with failure and the false belief that we can raise ourselves by our own bootstraps from the miserable pulp of delay. There's no escaping that, stupid.|Satantango
Elena Ferrante|Maybe we really are made of the same clay, maybe we really are condemned, blameless, to the same, identical mediocrity.|The Story of a New Name
Yukio Mishima|The perfectly ordinary girl and the great philosopher are alike: for both, the smallest triviality can become the vision that wipes out the world.|The Decay of the Angel
Edmund Husserl|In our vital need ... science has nothing to say to us. It excludes in principle precisely the question which man, given over in our unhappy times to the most portentous upheavals, finds the most burning: questions about the meaning or meaninglessness of this whole human existence. Do not these questions, universal and necessary for all men, demand universal reflections and answers based on rational insight? In the final analysis they concern man as a free, self-determining being in his behaviour toward the human and extrahuman surrounding world and free in regard to his capacities for rationally shaping himself himself and his surrounding world.|Crisis of European Sciences and Transcendental Phenomenology
Michel Houellebecq|You have to take an interest in something in life, I told myself. I wondered what could interest me, after I was finished with love. I could take a course in wine tasting, maybe , or start collecting model aeroplanes|
John Marmysz|I do not teach students anything. I learn along with them.|
Ivan Turgenev|Nature's not a temple, but a workshop, and man's the workman in it.|Fathers and Sons
John Marmysz|There must be no final truths; only burning questions.|The Nihilist: A Philosophical Novel
Jean-François Lyotard|Are we, intellectual sirs, not actively or passively 'producing' more and more words, more books, more articles, ceaselessly refilling the pot-boiler of speech, gorging ourselves on it rather, seizing books and 'experiences', to metamorphose them as quickly as possible into other words, plugging us in here, being plugged in there, just like Mina on her blue squared oilcloth, extending the market and the trade in words of course, but also multiplying the chances of jouissance, scraping up intensities wherever possible, and never being sufficiently dead, for we too are required to go from forty to the hundred a day, and we will never play the whore enough, we will never be dead enough|Libidinal Economy
Ivan Turgenev|We act by virtue of what we recognize as beneficial. At the present time, negation is the most beneficial of all—and we deny.|Fathers and Sons
Ivan Turgenev|In his heart he was highly delighted with his friend's suggestion, but he thought it a duty to conceal his feeling. He was not a nihilist for nothing!|
J.G. Ballard|Kill a politician and you're tied to the motive that made you pull the trigger.|Millennium People
